Title,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscars_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Prime_Awards_won,Oscars_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won,Other_nominations,Other_wins
Achmea kennisquiz,None.,0,0,0,0,0,0,0,0,0,0,0,0
Andy Pandy: Andy Pandy's Band,None.,0,0,0,0,0,0,0,0,0,0,0,0
Round Up: Deposing 'The Usual Suspects',None.,0,0,0,0,0,0,0,0,0,0,0,0
Las dos caras del señor,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Rolling Stones: Just for the Record,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aalippazham,None.,0,0,0,0,0,0,0,0,0,0,0,0
An American Dream,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Personal Story,None.,0,0,0,0,0,0,0,0,0,0,0,0
Happy Holidays: The Best of the Andy Williams Christmas Specials,None.,0,0,0,0,0,0,0,0,0,0,0,0
99 Things to Do Before You Die,None.,0,0,0,0,0,0,0,0,0,0,0,0
6000 a Day: An Account of a Catastrophe Foretold,None.,0,0,0,0,0,0,0,0,0,0,0,0
Xingu: Land of No Shame,None.,0,0,0,0,0,0,0,0,0,0,0,0
Baaje Payal,None.,0,0,0,0,0,0,0,0,0,0,0,0
Pure Imagination: The Story of 'Willy Wonka and the Chocolate Factory',None.,0,0,0,0,0,0,0,0,0,0,0,0
Awaaz,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agneepath,None.,0,0,0,0,0,0,0,0,0,0,0,0
Comic Remix,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ai nante iranê yo; natsu,None.,0,0,0,0,0,0,0,0,0,0,0,0
3K Check In,None.,0,0,0,0,0,0,0,0,0,0,0,0
Akvariumas,None.,0,0,0,0,0,0,0,0,0,0,0,0
Angling Unlimited,None.,0,0,0,0,0,0,0,0,0,0,0,0
Babelstårnet 2001,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Minha Familia É Uma Animação,None.,0,0,0,0,0,0,0,0,0,0,0,0
Advent - med budbringeren på job,None.,0,0,0,0,0,0,0,0,0,0,0,0
Joe Satriani: Live in San Francisco,None.,0,0,0,0,0,0,0,0,0,0,0,0
Life in the Cage,None.,0,0,0,0,0,0,0,0,0,0,0,0
All the Russias,None.,0,0,0,0,0,0,0,0,0,0,0,0
Blood of the Vikings,None.,0,0,0,0,0,0,0,0,0,0,0,0
Suicide,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hannibal: The Man Who Hated Rome,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Babies: Special Delivery,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agente 700,None.,0,0,0,0,0,0,0,0,0,0,0,0
100% Greve,None.,0,0,0,0,0,0,0,0,0,0,0,0
6ixth Sense with Colin Fry,None.,0,0,0,0,0,0,0,0,0,0,0,0
7 jours au Groland,None.,0,0,0,0,0,0,0,0,0,0,0,0
MTV New Years Eve 2001,None.,0,0,0,0,0,0,0,0,0,0,0,0
20 Years on MTV,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Great Escape: Preparations for Freedom,None.,0,0,0,0,0,0,0,0,0,0,0,0
TV Land Legends: The 60 Minutes Interviews,None.,0,0,0,0,0,0,0,0,0,0,0,0
7 de notícies,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Racing Car Is Born,None.,0,0,0,0,0,0,0,0,0,0,0,0
+ Clair,None.,0,0,0,0,0,0,0,0,0,0,0,0
Venice: Lost and Found,None.,0,0,0,0,0,0,0,0,0,0,0,0
Boys Will Be Boys,None.,0,0,0,0,0,0,0,0,0,0,0,0
Damon Blows America Volume 1: Portland Oregon,None.,0,0,0,0,0,0,0,0,0,0,0,0
Grease 20th Anniversary Re-Release Party,None.,0,0,0,0,0,0,0,0,0,0,0,0
Dream Girls,None.,0,0,0,0,0,0,0,0,0,0,0,0
